Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
07/26/2023,12/01/2021,12/31/2021,United States,2021,12,320033,293773,3834,52506,9493,10849,4679,13664,4272,5145,3736,64870,14875,19148,3955,3898,2136,8626,45623,41417,,,,,
07/26/2023,01/01/2022,01/31/2022,United States,2022,1,370104,343544,4028,53172,11051,12752,4917,14581,4571,5845,3163,71491,16361,19360,3539,4156,2031,9072,84001,72644,,,,,
07/26/2023,02/01/2022,02/28/2022,United States,2022,2,290125,265802,3327,46288,8488,10454,3545,11685,3774,4902,2599,57958,13813,17746,3269,3824,1849,8597,50245,40994,,,,,
07/26/2023,03/01/2022,03/31/2022,United States,2022,3,268531,242470,3562,50968,8586,9532,3490,12216,4011,5070,2684,58766,13931,18942,3676,4121,1965,9312,15623,10989,,,,,
07/26/2023,04/01/2022,04/30/2022,United States,2022,4,246423,221744,3291,48916,7732,8946,3302,11570,3774,4595,2593,55281,13230,17627,3495,4037,2080,8673,6265,3671,,,,,
07/26/2023,05/01/2022,05/31/2022,United States,2022,5,255106,228801,3354,50661,7886,9389,3413,12065,3799,4626,2609,56363,13230,18694,3964,4407,2258,8976,7634,4822,,,,,
07/26/2023,06/01/2022,06/30/2022,United States,2022,6,249000,222476,3290,49225,7704,9040,3150,11410,3691,4497,2637,54450,12698,19251,3989,4290,2235,9013,9539,6239,,,,,
07/26/2023,07/01/2022,07/31/2022,United States,2022,7,261005,233046,3370,51197,7966,9431,3069,11231,3915,4546,2840,56565,13298,20427,4207,4374,2372,9657,13394,8947,,,,,
07/26/2023,08/01/2022,08/31/2022,United States,2022,8,259789,232769,3321,51597,7704,9407,2901,11254,3760,4507,2994,55700,13234,19600,4202,4357,2246,9298,14138,9354,,,,,
07/26/2023,09/01/2022,09/30/2022,United States,2022,9,251639,225467,3360,50314,7623,9139,2956,11086,3764,4512,2776,54006,12962,19212,4262,4122,2078,8948,11125,7052,,,,,
07/26/2023,10/01/2022,10/31/2022,United States,2022,10,265707,239096,3516,52106,8427,10229,3385,12117,4014,4756,3109,57755,13907,19632,4286,4092,2106,9185,9714,6083,,,,,
07/26/2023,11/01/2022,11/30/2022,United States,2022,11,268814,243367,3697,51124,8486,10244,4826,12923,4214,4759,3180,59243,13906,18889,3848,3917,1910,8939,10033,6383,,,,,
07/26/2023,12/01/2022,12/31/2022,United States,2022,12,301279,274334,4173,53400,9650,11540,7906,15271,4808,5326,3694,66778,15054,20263,3804,3961,1924,9495,14380,9751,,,,,
07/26/2023,01/01/2023,01/31/2023,United States,2023,1,289166,264404,4064,52400,8919,10919,5919,14196,4731,5155,4930,62967,14910,,,,,,14836,10001,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
07/26/2023,02/01/2023,02/28/2023,United States,2023,2,248806,227222,3293,47647,7900,9254,3732,12082,4010,4496,5090,55197,12834,,,,,,8958,5788,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
07/26/2023,03/01/2023,03/31/2023,United States,2023,3,268350,245417,3756,51737,8379,9748,3819,13068,4455,4905,6488,59578,13982,,,,,,7549,4781,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
07/26/2023,04/01/2023,04/30/2023,United States,2023,4,250884,229406,3442,49414,7733,9092,3531,12340,4142,4481,7604,55100,13278,,,,,,5110,3147,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
07/26/2023,05/01/2023,05/31/2023,United States,2023,5,249536,230459,3282,50919,7539,8928,3341,11737,4130,4545,11172,53945,13281,,,,,,3465,2079,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
07/26/2023,06/01/2023,06/30/2023,United States,2023,6,230026,216723,3086,48801,6747,8442,3022,10839,3728,4268,14479,48976,12209,,,,,,2440,1465,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
07/26/2023,07/01/2023,07/22/2023,United States,2023,7,107709,106152,1460,24981,3046,4294,1318,5266,1781,1869,8082,23439,6026,,,,,,984,606,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
